depa_nombre,muni_nombre,codigo_habilitacion,numero_sede,sede_nombre,nits_nit,clase_persona,naju_codigo,naju_nombre,clpr_codigo,clpr_nombre,nivel,caracter,habilitado,grse_codigo,grse_nombre,serv_codigo,serv_nombre,ambulatorio,hospitalario,unidad_movil,domiciliario,otras_extramural,centro_referencia,institucion_remisora,complejidad_baja,complejidad_media,complejidad_alta,fecha_apertura,numero_sede_principal,nombre,modalidad_intramural,modalidad_extramural,modalidad_unidad_movil,modalidad_domiciliario,modalidad_jornada_salud,modalidad_telemedicina,modalidad_prestador_referencia,modalidad_prestador_referencia_telemedicina_interactiva,modalidad_prestador_referencia_telemedicina_no_interactiva,modalidad_prestador_referencia_tele_experticia,modalidad_prestador_referencia_tele_monitoreo,modalidad_prestador_remisor,modalidad_prestador_remisor_tele_experticia,modalidad_prestador_remisor_tele_monitoreo,complejidades
Nariño,PASTO,5200100600,1,JOSE NICOLAS RESTREPO GIRALDO,79277879,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,339,ORTOPEDIA Y/O TRAUMATOLOGÍA,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120509,1,JOSE NICOLAS RESTREPO GIRALDO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100618,1,JORGE LUIS PAZ BASTIDAS,12982914,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,355,UROLOGÍA,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120508,1,JORGE LUIS PAZ BASTIDAS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100634,1,LIGIA DEL CARMEN LEGARDA RINCON,30718515,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,320,GINECOBSTETRICIA,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120508,1,LIGIA DEL CARMEN LEGARDA RINCON,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100654,1,HUMBERTO DAVILA ORTIZ,12978731,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,329,MEDICINA INTERNA,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120508,1,HUMBERTO DAVILA ORTIZ,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100669,1,"PROFESIONALES DE LA SALUD S.A. ""PROINSALUD S.A.""",800176807,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,712,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,SI,SI,NO,SI,NO,NO,NO,SI,NO,NO,20061026,1,"PROFESIONALES DE LA SALUD S.A. ""PROINSALUD S.A.""",SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100669,28,Proinsalud S.A. Ambulatorio,800176807,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,420,VACUNACIÓN,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20170714,1,"PROFESIONALES DE LA SALUD S.A. ""PROINSALUD S.A.""",SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100669,1,"PROFESIONALES DE LA SALUD S.A. ""PROINSALUD S.A.""",800176807,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,1,Internación,133,HOSPITALIZACIÓN PACIENTE CRÓNICO CON VENTILADOR,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20160913,1,"PROFESIONALES DE LA SALUD S.A. ""PROINSALUD S.A.""",NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100726,1,FERNANDO HORACIO CASABON DRIGEZ,12999818,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,304,CIRUGÍA GENERAL,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120509,1,FERNANDO HORACIO CASABON RODRIGUEZ,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100752,1,LABORATORIO CLINICO ESPECIALIZADO LIMITADA,891224312,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,712,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,NO,SI,NO,SI,SI,NO,NO,SI,NO,NO,20190131,1,LABORATORIO CLINICO ESPECIALIZADO LIMITADA,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100818,1,Maria Mercedes Bravo Chacón,52054570,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,739,FISIOTERAPIA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20210422,1,Maria Mercedes Bravo Chacón,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100839,1,HERNESTO IVAN CORDOBA CHAMORRO,80505340,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,372,CIRUGÍA VASCULAR,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120508,1,HERNESTO IVAN CORDOBA CHAMORRO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100866,1,Gerardo Uribe Ramirez,19392274,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,344,PSICOLOGÍA,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20131008,1,Gerardo Uribe Ramirez,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101213,15,RED MEDICRON IPS - UNIDAD DE TERAPIAS FATIMA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,740,FONOAUDIOLOGÍA Y/O TERAPIA DEL LENGUAJE,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220202,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,15,RED MEDICRON IPS - UNIDAD DE TERAPIAS FATIMA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,739,FISIOTERAPIA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220202,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,15,RED MEDICRON IPS - UNIDAD DE TERAPIAS FATIMA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,729,TERAPIA RESPIRATORIA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220202,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,15,RED MEDICRON IPS - UNIDAD DE TERAPIAS FATIMA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,728,TERAPIA OCUPACIONAL,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220202,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,728,TERAPIA OCUPACIONAL,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220923,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,729,TERAPIA RESPIRATORIA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220923,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,739,FISIOTERAPIA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220923,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,740,FONOAUDIOLOGÍA Y/O TERAPIA DEL LENGUAJE,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220923,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,20120201,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,344,PSICOLOGÍA,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,20120201,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,312,ENFERMERÍA,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,20120201,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101213,15,RED MEDICRON IPS - UNIDAD DE TERAPIAS FATIMA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,344,PSICOLOGÍA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20220202,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101213,1,RED MEDICRON IPS - AURORA,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,1,Internación,134,HOSPITALIZACIÓN PACIENTE CRÓNICO SIN VENTILADOR,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20221226,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,BUESACO,5211001213,8,RED MEDICRON IPS - BUESACO,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,20081031,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,IPIALES,5235601213,9,RED MEDICRON IPS - IPIALES,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,20081031,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,LA CRUZ,5237801213,7,RED MEDICRON IPS - LA CRUZ,900077584,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,20081031,1,COOPERATIVA DE SERVICIOS INTEGRALES DE SALUD RED MEDICRON IPS,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101312,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,900105596,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,728,TERAPIA OCUPACIONAL,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20061110,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101312,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,900105596,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,729,TERAPIA RESPIRATORIA,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,20160212,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101312,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,900105596,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,739,FISIOTERAPIA,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20061110,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101312,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,900105596,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,740,FONOAUDIOLOGÍA Y/O TERAPIA DEL LENGUAJE,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20061110,1,CENTRO DE APOYO TERAPEUTICO REHABILITAR SAS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200101443,1,Sonia Patricia Viveros Cuásquer,59831140,NATURAL,1,Privada,2,Profesional Independiente,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20210525,1,Sonia Patricia Viveros Cuásquer,SI,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,NO,NO,NO,BAJA
Nariño,PASTO,5200101457,12,CENTRO DE SALUD EL PROGRESO,900091143,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,MUNICIPAL,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20070810,1,EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101457,12,CENTRO DE SALUD EL PROGRESO,900091143,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,MUNICIPAL,SI,3,Consulta Externa,312,ENFERMERÍA,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20070810,1,EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101457,7,CENTRO DE SALUD EL ROSARIO,900091143,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,MUNICIPAL,SI,3,Consulta Externa,312,ENFERMERÍA,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20070810,1,EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.,SI,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101457,7,CENTRO DE SALUD EL ROSARIO,900091143,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,MUNICIPAL,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20070810,1,EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.,SI,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200101457,24,PUESTO DE SALUD LA CALDERA,900091143,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,MUNICIPAL,SI,3,Consulta Externa,420,VACUNACIÓN,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20080529,1,EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
