departamento,municipio,codigo_prestador,nombre_prestador,codigo_habilitacion,numero_sede,nombre,tipo_zona,direccion,barrio,cepo_codigo,centro_poblado,fecha_apertura,nits_nit,clase_persona,naju_codigo,naturaleza,clpr_codigo,clase_prestador,nivel,caracter,sede_principal,habilitado,numero_sede_principal,Municipio PDET,Municipio PNSR,Municipio ZOMAC
Cauca,BUENOS AIRES,1900108923,IPS HORIZONTE SOCIAL LA ESPERANZA SOCIEDAD POR ACCIONES SIMPLIFICADA,1911008923,4,IPS HORIZONTE SOCIAL LA ESPERANZA BUENOS AIRES,URBANA,Calle 6 4-31 1er piso,Centro,No definido,No definido,20170707,901011395,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,11,SI,SI,SI
Cauca,BUENOS AIRES,1969800025,Asociación de Cabildos Indígenas de la Zona Norte del Cauca -ACIN.,1911000025,17,DELICIAS BUENOS AIRES,RURAL,Resguardo Las Delicias,No definido,19110000.0,BUENOS AIRES,20220721,817000232,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,NO,SI,1,SI,SI,SI
Cauca,CAJIBÍO,1913008824,FUNDACION NACER PARA VIVIR IPS,1913008824,3,FUNDACION NACER PARA VIVIR SEDE CAJIBIO,URBANA,CALLE PRINCIPAL,CENTRAL,No definido,No definido,20170512,900817959,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,3,SI,SI,SI
Cauca,CAJIBÍO,1954805086,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I,1913005086,3,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I UNIDAD DE ATENCION EN SALUD CAJIBIO,URBANA,CL 5 # 1-59,porvenir,19130000.0,CAJIBÍO,20070504,900145581,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CAJIBÍO,1954805086,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I,1913005086,5,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I UNIDAD DE ATENCION EN SALUD EL ROSARIO,RURAL,VEREDA EL ROSARIO,No definido,No definido,No definido,20070504,900145581,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CAJIBÍO,1954805086,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I,1913005086,13,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I UNIDAD DE ATENCION EN SALUD ORTEGA,RURAL,CORREGIMIENTO ORTEGA,CORREGIMIENTO ORTEGA,No definido,No definido,20160112,900145581,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CAJIBÍO,1954805086,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I,1913005086,14,EMPRESA SOCIAL DEL ESTADO ESE CENTRO I UNIDAD DE ATENCION EN SALUD EL CARMELO,RURAL,CORREGIMIENTO EL CARMELO,EL CARMELO,19130004.0,EL CARMELO,20160112,900145581,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CALDONO,1900107547,EMPRESA SOCIAL DEL ESTADO POPAYAN E.S.E.,1913707547,28,EMPRESA SOCIAL DEL ESTADO POPAYAN E.S.E UNIDAD DE ATENCION EN SALUD CALDONO,URBANA,CL PRINCIPAL,LA PLAZA,19137000.0,CALDONO,20070524,900145579,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CALDONO,1900107547,EMPRESA SOCIAL DEL ESTADO POPAYAN E.S.E.,1913707547,29,EMPRESA SOCIAL DEL ESTADO POPAYAN E.S.E UNIDAD DE ATENCION EN SALUD PESCADOR,URBANA,PUEBLITO VIEJO,PUEBLITO VIEJO,19137004.0,PESCADOR,20070524,900145579,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CALDONO,1900107547,EMPRESA SOCIAL DEL ESTADO POPAYAN E.S.E.,1913707547,30,EMPRESA SOCIAL DEL ESTADO POPAYAN E.S.E UNIDAD DE ATENCION EN SALUD SIBERIA,URBANA,CALLE PRINCIPAL PARQUE INFANTIL,CALLE PRINCIPAL,No definido,No definido,20070524,900145579,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,CALDONO,1913700029,ASOCIACION DE CABILDOS UKAWE'SX NASA ÇXHAB IPS-I,1913700029,1,ASOCIACION DE CABILDOS UKAWE'SX NASA ÇXHAB IPS-I,URBANA,Carrera 3 5 41 45 51,BARRIO BOLIVAR,19137000.0,CALDONO,20061117,817000224,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,SI,SI,1,SI,SI,SI
Cauca,CALOTO,1969800025,Asociación de Cabildos Indígenas de la Zona Norte del Cauca -ACIN.,1914200025,7,CALOTO,URBANA,CALLE 11 # 5-38,LAS PALMAS,19142000.0,CALOTO,20110401,817000232,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,NO,SI,1,SI,SI,SI
Cauca,CORINTO,1921208258,FLOR RUBIELA MUELAS CAMPO,1921208258,1,FLOR RUBIELA MUELAS CAMPO,URBANA,CARRERA 9 # 5 - 45,No definido,No definido,No definido,20090908,43252869,NATURAL,1,Privada,2,Profesional Independiente,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,CORINTO,1921208391,ELIANA PRADO LOPEZ,1921208391,1,ELIANA PRADO LOPEZ,URBANA,CALLE 4 Nº 10-73,LA COLOMBIANA,No definido,No definido,20101117,29677159,NATURAL,1,Privada,2,Profesional Independiente,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,CORINTO,1921208974,CLINICA ESPECIALIZADA OYOLA S.A.S,1921208974,1,CLINICA ESPECIALIZADA OYOLA S.A.S,URBANA,CARRERA 10 # 4-44,BARRIO CENTRO,No definido,No definido,20170602,901049744,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,CORINTO,1945508017,IPS CLINICA SALUD FLORIDA S.A,1921208017,2,IPS CLINICA SALUD FLORIDA SEDE CORINTO,URBANA,CL 8 7-37,EL FRIJOL,19212000.0,CORINTO,20061114,815000253,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,CORINTO,1969800025,Asociación de Cabildos Indígenas de la Zona Norte del Cauca -ACIN.,1921200025,4,CORINTO,URBANA,CALLE 5 No. 8-85,LA PLAYA,No definido,No definido,20100510,817000232,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,NO,SI,1,SI,SI,SI
Cauca,CORINTO,1969800025,Asociación de Cabildos Indígenas de la Zona Norte del Cauca -ACIN.,1921200025,9,CORINTO SERV FARMACEUTICO,URBANA,CALLE 5 # 11-49,LA COLOMBIANA,19212000.0,CORINTO,20111109,817000232,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,NO,SI,1,SI,SI,SI
Cauca,EL TAMBO,1900106571,CONSEJO REGIONAL INDIGENA DEL CAUCA CRIC,1925606571,4,CONSEJO REGIONAL INDIGENA DEL CAUCA - EL TAMBO,URBANA,CALLE 5 - CASA 5,LA CONCORDIA,19256000.0,EL TAMBO,20110630,817002466,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,NO,SI,1,SI,SI,SI
Cauca,GUACHENÉ,1930008254,ADRIANA MARIA CARABALI MEJIA,1930008254,1,ADRIANA MARIA CARABALI MEJIA,URBANA,Carrera 5 Calle 4 esquina,Jorge Eliecer Gaitán,19300000.0,GUACHENÉ,20161109,34611504,NATURAL,1,Privada,2,Profesional Independiente,No definido,No definido,SI,SI,1,NO,NO,NO
Cauca,GUACHENÉ,1930009139,ASOCIACIÓN AFROCOLOMBIANA IPS-A ORIKA BIOHÓ (IPS AFRO ORIKA BIOHÓ),1930009139,1,iIPS-A ORIKA BIOHO,RURAL,VEREDA LA CAPONERA,No definido,19300003.0,VEREDAS UNIDAS,20201117,900965782,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,NO,NO,NO
Cauca,GUACHENÉ,1969809134,HOME CARE DE LA MANO S.A.S.,1930009134,2,IPS HOMECARE DE LA MANO,URBANA,CALLE 4 CARRERA 9 # 9-11,LAS PALMAS,No definido,No definido,20191226,901202652,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,NO,NO,NO
Cauca,GUAPI,1900107048,CORPORACIOPN DE SERVICIOS MEDICOS INTERNACIONALES THEM & CIA,1931807048,6,CENTRO MEDICO COSMITET GUAPI,URBANA,KR 5 # 12-73,SAN FRANCISCO,19318000.0,GUAPI,20061117,830023202,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,GUAPI,1900109180,BIOS IPS MEDICAL CENTER SAS,1931809180,6,BIOS IPS MEDICAL CENTER SAS GUAPI,URBANA,CARRERA 2 # 7-26,BARRIO EL PORVENIR,19318000.0,GUAPI,20230316,901174161,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,GUAPI,1931800113,AZUL PACIFICO SAS,1931800113,1,AZUL PACIFICO SAS,URBANA,KR 2 CL 7-79,EL PORVENIR,No definido,No definido,20061105,817003249,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,GUAPI,1931800115,EMPRESA SOCIAL DEL ESTADO GUAPI ESE,1931800115,1,EMPRESA SOCIAL DEL ESTADO GUAPI ESE UNIDAD DE ATENCIÓN EN SALUD GUAPI,URBANA,KR 2 # 12 - 25,SAN FRANCISCO,No definido,No definido,20070425,900146012,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,SI,SI,1,SI,SI,SI
Cauca,GUAPI,1931800115,EMPRESA SOCIAL DEL ESTADO GUAPI ESE,1931800115,2,EMPRESA SOCIAL DEL ESTADO GUAPI ESE UNIDAD DE ATENCIÓN EN SALUD LIMONES,RURAL,RIO GUAPI ABAJO,CORREGIMIENTO LIMONES,19318008.0,LIMONES,20120627,900146012,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,GUAPI,1931808506,Centro Internacional de Asistencia Educación Profesional y Cultura Física Especializada CIAEPE LTDA,1931808506,1,Centro Internacional de Asistencia Educacion Profesional y Cultura Fisica Especializada CIAEPE Ltda.,URBANA,K 3 Nº 10-12,Las Palmeras,No definido,No definido,20110916,830046541,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,GUAPI,1931808506,Centro Internacional de Asistencia Educación Profesional y Cultura Física Especializada CIAEPE LTDA,1931808506,3,Centro Internacional de Asistencia Educación Profesional y Cultura Física Especializada,URBANA,CARRERA 4 No. 10-24,LAS PALMERAS,19318000.0,GUAPI,20151119,830046541,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,GUAPI,1931808919,INVERSIONES GUAPI S.A.S,1931808919,1,IPS MARIA DEL MAR SEDE 1,URBANA,cra 2 calle 4 nro 3-20,barrio la esperanza,No definido,No definido,20170824,900367628,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,GUAPI,1931808919,INVERSIONES GUAPI S.A.S,1931808919,2,IPS MARIA DEL MAR SEDE 2,URBANA,cra 2 calle 4 nro 3 -37,barrio la esperanza,19318000.0,GUAPI,20170824,900367628,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,GUAPI,1931808919,INVERSIONES GUAPI S.A.S,1931808919,3,IPS MARIA DEL MAR SEDE 3,URBANA,cra 2 calle 4 esquina nro 3-18,barrio la esperanza,19318000.0,GUAPI,20170824,900367628,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,INZÁ,1900109129,LABORATORIO CLINICO DIAGNOSTICAR IPS SAS,1935509129,5,LABORATORIO CLINICO DIAGNOSTICAR IPS SAS INZA,URBANA,CALLE 5a No. 4 - 61,El Centro,19355000.0,INZÁ,20201002,901211083,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,NO,NO,NO
Cauca,INZÁ,1935508300,ASOCIACIÓN DE AUTORIDADES DEL CONSEJO TERRITORIAL DE PUEBLOS INDÍGENAS JUAN TAMA - INZÀ,1935508300,1,IPS INDIGENA JUAN TAMA,URBANA,Calle 5 No.3-68,Bolívar,No definido,No definido,20091223,817000102,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,NO,NO,NO
Cauca,JAMBALÓ,1969800025,Asociación de Cabildos Indígenas de la Zona Norte del Cauca -ACIN.,1936400025,8,JAMBALÓ,URBANA,CARRERA 5 # 5-68,LAS DALIAS,No definido,No definido,20110401,817000232,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,INDIGENA,NO,SI,1,SI,SI,SI
Cauca,JAMBALÓ,1982100040,CXAYU`CE JXUT EMPRESA SOCIAL DEL ESTADO,1936400040,6,CXAYU`CE JXUT EMPRESA SOCIAL DEL ESTADO UNIDAD DE ATENCIÓN EN SALUD JAMBALO,URBANA,CL PRINCIPAL,EL CENTRO,19364000.0,JAMBALÓ,20061117,900052148,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,LA SIERRA,1900109129,LABORATORIO CLINICO DIAGNOSTICAR IPS SAS,1939209129,3,SEDE LA SIERRA CAUCA,URBANA,CARRERA 3 No. 11-04,NORTE,No definido,No definido,20181204,901211083,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,NO,NO,NO
Cauca,LA SIERRA,1962200023,EMPRESA SOCIAL DEL ESTADO CENTRO 2 E.S.E.,1939200023,1,EMPRESA SOCIAL DEL ESTADO CENTRO 2 E.S.E. UNIDAD DE ATENCION EN SALUD LA SIERRA,URBANA,BARRIO LOS SAUCES,BARRIO LOS SAUCES,19392000.0,LA SIERRA,20070508,900146471,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,2,NO,NO,NO
Cauca,LA VEGA,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1939700051,1,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD LA VEGA,URBANA,LA PRADERA,LA PRADERA,No definido,No definido,20070508,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,SI,SI,1,NO,NO,NO
Cauca,LA VEGA,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1939700051,2,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD GUACHICONO,RURAL,CALLE PRINCIPAL,COREA,19397005.0,GUACHICONO,20070508,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,LA VEGA,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1939700051,3,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD SAN MIGUEL,RURAL,CALLE PRINCIPAL,COREA,19397009.0,SAN MIGUEL,20070508,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,LA VEGA,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1939700051,4,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD SANTA RITA,RURAL,SANTA RITA,SANTA RITA,19397019.0,SANTA RITA,20070508,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,LÓPEZ,1941808687,SALUD AFRO IPS SEDE CAUCA,1941808687,1,AFRO SALUD IPS LTDA SEDE LOPEZ DE MICAY,URBANA,CALLE DEL COMERCIO,No definido,No definido,No definido,20130430,900607286,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,LÓPEZ,1941808687,SALUD AFRO IPS SEDE CAUCA,1941808687,2,AFROSALUD IPS LTDA SEDE NOANAMITO,RURAL,CALLE PRINCIPAL,No definido,No definido,No definido,20130430,900607286,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,LÓPEZ,1980900064,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E,1941800064,3,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E UNIDAD DE ATENCION EN SALUD LÓPEZ DE MICAY,URBANA,CL. SANTANDER ESQUINA,CL. SANTANDER,No definido,No definido,20070514,900145588,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,LÓPEZ,1980900064,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E,1941800064,4,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E UNIDAD DE ATENCION EN SALUD NOANAMITO,RURAL,CORREGIMIENTO DE NOANAMITO,NOANAMITO,No definido,No definido,20070514,900145588,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,LÓPEZ,1980900064,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E,1941800064,5,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E UNIDAD DE ATENCION EN SALUD NAICIONA,RURAL,NAICIONA,NAICIONA,No definido,No definido,20120621,900145588,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,LÓPEZ,1980900064,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E,1941800064,9,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E UNIDAD DE ATENCION EN SALUD JOLÍ,RURAL,hospital ese occidente lopez de micay corregimiento de joli,barrio santander,No definido,No definido,20150729,900145588,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,LÓPEZ,1980900064,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E,1941800064,10,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E UNIDAD DE ATENCION EN SALUD SIGUÍ,RURAL,hospital ese occidente lopez de micay corregimiento de sigui,barrio santander,No definido,No definido,20150729,900145588,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,LÓPEZ,1980900064,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E,1941800064,11,EMPRESA SOCIAL DEL ESTADO OCCIDENTE E.S.E UNIDAD DE ATENCION EN SALUD DOS QUEBRADAS,RURAL,hospital ese occidente lopez de micay zona rural corregimiento de dosquebrada,barrio santander,No definido,No definido,20150729,900145588,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,SI,SI,SI
Cauca,MERCADERES,1900108923,IPS HORIZONTE SOCIAL LA ESPERANZA SOCIEDAD POR ACCIONES SIMPLIFICADA,1945008923,6,IPS HORIZONTE SOCIAL LA ESPERANZA MERCADERES,URBANA,calle 7 # 1- 22,San Nicolas,No definido,No definido,20170728,901011395,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,11,SI,SI,SI
Cauca,MERCADERES,1945009093,UNILAB LABORATORIO CLINICO Y CITOLOGICO SAS,1945009093,1,LABORATORIO UNILAB MERCADERES,URBANA,CALLE 10 #2B-37,EL PROGRESO,19450000.0,MERCADERES,20181115,900895500,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,MIRANDA,1900106188,COMFACAUCA I.P.S.,1945506188,6,COMFACAUCA IPS MIRANDA,URBANA,CARRERA 7 CON CALLE 14 ESQUINA,COLSEGUROS,No definido,No definido,20130814,891500182,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,MIRANDA,1921208974,CLINICA ESPECIALIZADA OYOLA S.A.S,1945508974,2,CLINICA ESPECIALIZADA OYOLA MIRANDA,URBANA,CARRERA 5 N° 10 36,BARRIO EL ROSARIO,19455000.0,MIRANDA,20171023,901049744,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,MIRANDA,1945508017,IPS CLINICA SALUD FLORIDA S.A,1945508017,1,IPS CLINICA SALUD FLORIDA SEDE MIRANDA,URBANA,CALLE 10 # 7 - 31,EL RUIZ,No definido,No definido,20061114,815000253,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,SI,SI,SI
Cauca,MIRANDA,1945508775,ANGELA PATRICIA GABALAN OSPINA,1945508775,1,angela patricia gabalan ospina,URBANA,Calle 10 No. 3-39,El Rosario,No definido,No definido,20140929,1113512661,NATURAL,1,Privada,2,Profesional Independiente,No definido,No definido,SI,SI,1,SI,SI,SI
